ID_Producto,Nombre_Producto,Categoría,ID_Sucursal,Nombre_Sucursal,Enero,Febrero,Marzo,Abril,Mayo
302,Mouse Inalámbrico,Accesorios,S03,Trujillo,6900,7100,7400,7300,7800
103,Tablet Lite,Electrónica,S04,Cusco,11600,12100,,12600,13400
104,Monitor 4K,Electrónica,S05,Miraflores,16900,17600,17200,18300,19100
105,Smartwatch,Electrónica,S06,Piura,9900,10100,10300,10500,
203,Lámpara de Escritorio,Mobiliario,S01,Lima Centro,5400,5600,5800,5700,6000
204,Estantería,Mobiliario,S02,Arequipa,8600,8900,8700,9200,9500
303,Webcam HD,Accesorios,S03,Trujillo,4700,4900,5000,5100,5200
304,Hub USB-C,Accesorios,S04,Cusco,,4600,4700,4800,4900
401,Licuadora Power,Hogar,S05,Miraflores,5800,6000,5900,6100,6300
402,Cafetera Express,Hogar,S06,Piura,6500,6700,6600,7000,7200
